N,k,inf_rate,model,max_inf,t_max
1000.0,2.0,0.2,46,21,37
1000.0,2.0,0.2,47,21,30
1000.0,2.0,0.2,48,19,25
1000.0,2.0,0.2,49,17,15
1000.0,2.0,0.2,50,20,18
1000.0,2.0,0.2,51,21,26
1000.0,2.0,0.2,52,19,34
1000.0,2.0,0.2,53,10,61
1000.0,2.0,0.2,54,19,20
1000.0,2.0,0.2,55,16,28
1000.0,2.0,0.2,56,19,142
1000.0,2.0,0.2,57,14,29
1000.0,2.0,0.2,58,20,21
1000.0,2.0,0.2,59,22,25
1000.0,2.0,0.2,60,16,20
1000.0,2.0,0.2,61,14,59
1000.0,2.0,0.2,62,16,18
1000.0,2.0,0.2,63,20,19
1000.0,2.0,0.2,64,15,37
1000.0,2.0,0.2,65,23,72
1000.0,2.0,0.2,66,18,24
1000.0,2.0,0.2,67,16,34
1000.0,2.0,0.2,68,13,83
1000.0,2.0,0.2,69,20,32
1000.0,2.0,0.2,70,14,25
1000.0,2.0,0.2,71,19,39
1000.0,2.0,0.2,72,21,25
1000.0,2.0,0.2,73,22,54
1000.0,2.0,0.2,74,12,9
1000.0,2.0,0.2,75,18,21
1000.0,2.0,0.2,76,17,24
1000.0,2.0,0.2,77,16,17
1000.0,2.0,0.2,78,17,38
1000.0,2.0,0.2,79,12,14
1000.0,2.0,0.2,80,16,23
1000.0,2.0,0.2,81,25,52
1000.0,2.0,0.2,82,19,86
1000.0,2.0,0.2,83,21,24
1000.0,2.0,0.2,84,14,22
1000.0,2.0,0.2,85,19,28
1000.0,2.0,0.2,86,8,26
1000.0,2.0,0.2,87,19,31
1000.0,2.0,0.2,88,16,27
1000.0,2.0,0.2,89,16,32
1000.0,2.0,0.2,90,14,20
1000.0,2.0,0.2,91,11,40
1000.0,2.0,0.2,92,19,17
1000.0,2.0,0.2,93,19,45
1000.0,2.0,0.2,94,21,67
1000.0,2.0,0.2,95,22,66
1000.0,2.0,0.2,96,15,38
1000.0,2.0,0.2,97,22,25
1000.0,2.0,0.2,98,21,18
1000.0,2.0,0.2,99,26,27
1000.0,2.0,0.3,0,23,16
1000.0,2.0,0.3,1,27,25
1000.0,2.0,0.3,2,26,23
1000.0,2.0,0.3,3,38,45
1000.0,2.0,0.3,4,28,290
1000.0,2.0,0.3,5,24,23
1000.0,2.0,0.3,6,27,26
1000.0,2.0,0.3,7,24,47
1000.0,2.0,0.3,8,31,47
1000.0,2.0,0.3,9,23,19
1000.0,2.0,0.3,10,29,47
1000.0,2.0,0.3,11,37,44
1000.0,2.0,0.3,12,24,27
1000.0,2.0,0.3,13,19,22
1000.0,2.0,0.3,14,38,108
1000.0,2.0,0.3,15,22,24
1000.0,2.0,0.3,16,32,37
1000.0,2.0,0.3,17,23,18
1000.0,2.0,0.3,18,28,39
1000.0,2.0,0.3,19,30,113
1000.0,2.0,0.3,20,36,51
1000.0,2.0,0.3,21,36,76
1000.0,2.0,0.3,22,32,52
1000.0,2.0,0.3,23,28,23
1000.0,2.0,0.3,24,24,32
1000.0,2.0,0.3,25,40,107
1000.0,2.0,0.3,26,22,44
1000.0,2.0,0.3,27,26,120
